央视,#genre#
中国教育-2,https://tv.2cf.x10.mx/2gx/3221225881/1.m3u8?servicetype=1
中国教育-4,https://tv.2cf.x10.mx/2gx/3221225723/1.m3u8?servicetype=1
山东教育,https://tv.2cf.x10.mx/2gx/3221225708/1.m3u8?servicetype=1
广西,#genre#
广西卫视,https://tv.2cf.x10.mx/2gx/3221225767/1.m3u8?servicetype=1
广西综艺旅游,https://tv.2cf.x10.mx/2gx/3221226292/1.m3u8?servicetype=1
广西都市,https://tv.2cf.x10.mx/2gx/3221226295/1.m3u8?servicetype=1
广西新闻,https://tv.2cf.x10.mx/2gx/3221226285/1.m3u8?servicetype=1
广西影视,https://tv.2cf.x10.mx/2gx/3221226298/1.m3u8?servicetype=1
南宁新闻综合,https://tv.2cf.x10.mx/2gx/3221226281/1.m3u8?servicetype=1
南宁文旅生活,https://tv.2cf.x10.mx/2gx/3221226288/1.m3u8?servicetype=1
南宁公共,https://tv.2cf.x10.mx/2gx/3221226301/1.m3u8?servicetype=1
南宁影视娱乐,https://tv.2cf.x10.mx/2gx/3221226291/1.m3u8?servicetype=1
柳州新闻综合,https://tv.2cf.x10.mx/2gx/3221226304/1.m3u8?servicetype=1
柳州科教,https://tv.2cf.x10.mx/2gx/3221226287/1.m3u8?servicetype=1
柳州公共,https://tv.2cf.x10.mx/2gx/3221226307/1.m3u8?servicetype=1
桂林新闻综合,https://tv.2cf.x10.mx/2gx/3221226294/1.m3u8?servicetype=1
桂林科教旅游,https://tv.2cf.x10.mx/2gx/3221226293/1.m3u8?servicetype=1
桂林公共,https://tv.2cf.x10.mx/2gx/3221226310/1.m3u8?servicetype=1
梧州公共,https://tv.2cf.x10.mx/2gx/3221226297/1.m3u8?servicetype=1
梧州教育生活,https://tv.2cf.x10.mx/2gx/3221226316/1.m3u8?servicetype=1
梧州新闻综合,https://tv.2cf.x10.mx/2gx/3221226313/1.m3u8?servicetype=1
北海新闻,https://tv.2cf.x10.mx/2gx/3221226309/1.m3u8?servicetype=1
北海经济科教,https://tv.2cf.x10.mx/2gx/3221226308/1.m3u8?servicetype=1
防城港新闻综合,https://tv.2cf.x10.mx/2gx/3221226312/1.m3u8?servicetype=1
防城港公共,https://tv.2cf.x10.mx/2gx/3221226328/1.m3u8?servicetype=1
钦州新闻综合,https://tv.2cf.x10.mx/2gx/3221226306/1.m3u8?servicetype=1
钦州公共影视,https://tv.2cf.x10.mx/2gx/3221226325/1.m3u8?servicetype=1
贵港新闻综合,https://tv.2cf.x10.mx/2gx/3221226300/1.m3u8?servicetype=1
贵港科教生活,https://tv.2cf.x10.mx/2gx/3221226303/1.m3u8?servicetype=1
玉林公共,https://tv.2cf.x10.mx/2gx/3221226319/1.m3u8?servicetype=1
玉林新闻综合,https://tv.2cf.x10.mx/2gx/3221226299/1.m3u8?servicetype=1
百色综合,https://tv.2cf.x10.mx/2gx/3221226322/1.m3u8?servicetype=1
贺州综合,https://tv.2cf.x10.mx/2gx/3221226296/1.m3u8?servicetype=1
河池科教生活,https://tv.2cf.x10.mx/2gx/3221226305/1.m3u8?servicetype=1
河池新闻综合,https://tv.2cf.x10.mx/2gx/3221226302/1.m3u8?servicetype=1
来宾综合,https://tv.2cf.x10.mx/2gx/3221226290/1.m3u8?servicetype=1
崇左综合,https://tv.2cf.x10.mx/2gx/3221226314/1.m3u8?servicetype=1



