卡通頻道,#genre#
90  經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=201
91  達文西頻道,https://www.4gtv.tv/channel/4gtv-4gtv018?set=1&ch=11
92  電影原聲台CMusic,https://www.4gtv.tv/channel/4gtv-live031?set=1&ch=218
93  靖天日本台,https://www.4gtv.tv/channel/4gtv-4gtv047?set=1&ch=22
94  靖天卡通台,https://www.4gtv.tv/channel/4gtv-4gtv044?set=1&ch=15
95  靖天育樂台,https://www.4gtv.tv/channel/4gtv-4gtv062?set=1&ch=83
96  靖天映畫,https://www.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=42
97  靖天資訊台,https://www.4gtv.tv/channel/4gtv-4gtv065?set=1&ch=88
98  靖天電影台,https://www.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=82
99  靖天綜合台,https://www.4gtv.tv/channel/4gtv-4gtv046?set=1&ch=21
100  靖天戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=116
101  靖洋卡通Nice Bingo,https://www.4gtv.tv/channel/4gtv-4gtv057?set=1&ch=59
102  靖洋戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=118
103  滾動力rollor,https://www.4gtv.tv/channel/4gtv-live012?set=1&ch=249
104  精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=204
105  影迷數位紀實台,https://www.4gtv.tv/channel/litv-ftv15?set=1&ch=445
106  影迷數位電影台,https://www.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40
107  豬哥亮歌廳秀,https://www.4gtv.tv/channel/4gtv-4gtv006?set=1&ch=113
108  寰宇財經台,https://www.4gtv.tv/channel/4gtv-4gtv158?set=1&ch=281
109  寰宇新聞台,https://www.4gtv.tv/channel/litv-longturn14?set=1&ch=36
110  寰宇新聞台灣台,https://www.4gtv.tv/channel/4gtv-4gtv156?set=1&ch=280

名偵探柯南,#genre#
parse=1

第1话 云霄飞车杀人事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=vlKbgSCoKM	
第2话 董事长千金绑架事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=QM7RUcRMr2	
第3话 偶像密室杀人事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=3NgAsoQtFo	
第4话 大都会暗号地图事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=YXsSYNFD6m	
第5话 新干线大爆破事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=4vKXJ4LxPD	
第6话 情人节杀人事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=d4u2FDXP6K	
第7话 每月一件礼物威胁事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=4Zvi63puUp	
第8话 美术馆杀人事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=E7JhjDzdjy	
第9话 天下第一夜祭杀人事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=EoFdw9MDrx	
第10话 足球选手恐吓事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=L7MfZ77jkY	
第11话 钢琴协奏曲《月光》杀人事件（上）,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=7cf8JoWJMb	
第12话 钢琴协奏曲《月光》杀人事件（下）,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=AM9CtenBNb	
第13话 步美被綁架了,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=39xtkeZ8Tn	
第14话 奇怪的寻人事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=Up7Ql89Jkh	
第15话 谜样的讯息狙击事件,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=7s5nV7uoEL	
第16话 消失的尸体,https://www.xgcartoon.com/user/page_direct?cartoon_id=mingzhentankenanguoyu-qingshangangchang&chapter_id=3m5P9GrZn8	
